role,name,location,post_time,description,level,job_type,job_func,industry,url
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-08-22,"800 Avenue Taniata, Lévis, Quebec G6Z 2C9

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701468664?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=9jEX6quGWOcF8I%2BfJ9iARg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-29,"1240, Rue Charles-Albanel, Québec, Quebec G1X 4V1

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,25$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701462988?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=l6FhcK9RbMKyYjDEGBoVrw%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-07-27,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3700337481?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=sN7ghuC5DtcTyW2pYn%2BDSw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-01,"3525, Ch. Des Quatre-Bourgeois, Québec, Quebec G1W 4T9

Horaire : Temps plein ou temps partiel, jour ou soir (à déterminer selon les besoins et vos disponibilités)


Pourquoi tu devrais choisir l’un de nos dépanneurs :


À quoi ressemblera ton quotidien dans un de nos dépanneurs :


Ce que nous cherchons pour l’un de nos dépanneurs :


Pour en savoir plus, consultez notre site internet : https://carrieres.couchetard.com

Vous pouvez également faire parvenir votre candidature directement au coordonnateur du territoire à

Viens grandir avec nous !

Suivez-nous sur LinkedIn!

Le masculin est utilisé, sans discrimination, afin d’alléger le texte.

valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701468702?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=TEQltml4BbXGd3VeKHxvNg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-08-06,"1505 Route Des Rivières, Lévis, Quebec G7A 2N9

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701446278?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=S9E8d7HjPtUBTcSNvwDGCg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Saint-Augustin-de-Desmaures, Quebec, Canada",2023-08-23,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3702805600?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=d631gH%2BEQG4%2FvEJRIBUryQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-22,"10048 Boul. de l'Ormière, Québec, Quebec G2B 3L3

Horaire : Temps plein ou temps partiel (à déterminer selon les besoins et vos disponibilités.)

Salaire de jour : $16.45 (prime de 1$ incluse)

Salaire de nuit: $16.45 (Prime de nuit de 3$ + prime de rétention 1$ incluse)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)

Pour en savoir plus, consultez notre site internet : https://carrieres.couche-tard.com


Viens grandir avec nous !

Suivez-nous sur LinkedIn!

Le masculin est utilisé, sans discrimination, afin d’alléger le texte.

Nous remercions tous les candidats de l’intérêt qu’ils portent à ce poste; seules les personnes sélectionnées seront contactées.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-at-alimentation-couche-tard-3701470052?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=HVON9LYh%2FSOq8j8Dkw%2FCOg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Saint-Anselme, Quebec, Canada",2023-08-04,"662 Route Bégin, St-Anselme, Quebec G0R 2N0

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701467035?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=puTLJB4R1Vg62mCr4tyALg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-08-16,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3697459073?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=Wn25PuxXijqU%2FUcEqkoG6g%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
"Stagiaire, Certification (Hiver 2024)",BDO Canada,"Québec, Quebec, Canada",2023-08-24,"Nous veillons chaque jour à faire de nos employés notre priorité

Chez BDO, les relations positives avec nos gens et nos clients sont fondamentales. Chaque jour, nos professionnels offrent à nos clients un service exceptionnel, ainsi que des conseils et des observations auxquels ils peuvent se fier. En contrepartie, nous offrons à nos employés un milieu de travail primé qui les met à l’avant-plan et qui fait de leur croissance personnelle et de leur perfectionnement professionnel une priorité.


Notre bureau de recherche pour son équipe de c. Il s’agit d’un mandat qui s’échelonnera et qui comporte les responsabilités suivantes :






Chez BDO, nous avons à cœur d’assurer la réussite des étudiants qui sont candidats au titre de CPA. Nous offrons des programmes préapprouvés dans plus de cent bureaux, du mentorat et du soutien, le remboursement des frais de scolarité, l’inscription au meilleur cours préparatoire à l’EFC au Canada et des options flexibles en matière de congé d’études pour favoriser leur réussite.


Notre approche de l’expérience talent qui met les gens à l’avant-plan nous a fait gagner une place parmi les cent meilleurs employeurs du Canada pour l’année 2023. Nous sommes heureux d’ajouter cette reconnaissance, qui constitue une étape importante, aux prix que nous avons déjà remportés en lien avec l’expérience talent à la fois auprès d’employés chevronnés et d’étudiants.

Notre cabinet s’engage à offrir à ses employés un environnement où ils pourront atteindre le succès des façons suivantes :


: Notre cabinet se préoccupe de ses collectivités. BDO s’engage activement auprès des collectivités en appuyant des initiatives caritatives locales. Nous aidons les membres de notre personnel à contribuer au bien-être de leur collectivité grâce à l’organisation d’événements locaux et nationaux.

: nous rétribuons le rendement au moyen d’une rémunération globale en argent concurrentielle qui reconnaît et récompense la contribution de nos employés. Nous offrons des avantages flexibles dès l’embauche ainsi qu’une politique de congés personnels sans pareille sur le marché. Nous sommes engagés à soutenir le mieux-être de notre personnel au-delà du travail et nous remboursons donc certaines initiatives de bien-être correspondant à leur style de vie.

BDO estime que chaque employé doit avoir l’occasion de participer et de réussir sans obstacle. Grâce au leadership démontré par notre Chef de la diversité, de l’équité et de l’inclusion, nous nous engageons à créer un milieu de travail qui promeut le respect, la diversité, l’équité et l’inclusion. Nous reconnaissons et chérissons le fait que chaque employé est unique, notamment au chapitre de la race, de la religion, des aptitudes physiques et mentales, de l’âge, l’origine ethnique, de la situation de famille, du genre ou de l’identité de genre et de l’orientation sexuelle. Si vous avez besoin d’aide pour postuler, veuillez communiquer avec nous.

On s’attend à ce que tout le personnel de BDO passe une partie de son temps à travailler au bureau, chez le client et virtuellement, à moins que des mesures d’adaptation ou d’autres modalités de travail ne soient en place.

Notre modèle est une approche mixte conçue pour répondre aux besoins flexibles de nos employés, du cabinet et de nos clients. Il s’agit de créer des expériences de travail qui répondent aux besoins de chacun et d’offrir la flexibilité nécessaire pour s’adapter quand, où et comment nous travaillons afin de répondre aux attentes de notre rôle.

est un puissant facteur de distinction et fait partie intégrante de la stratégie de notre cabinet. Nos valeurs, incarnées par nos gens et intégrées à nos activités, orientent notre travail quotidien. Elles nous incitent à consolider nos relations avec nos clients et à établir un milieu de travail inclusif qui favorise la collaboration et l’innovation. Cliquez ici pour en savoir davantage.

Cliquez sur « Postuler » pour envoyer votre curriculum vitæ à l’un de nos spécialistes en recrutement de talents.

Carrières.",Entry level,Full-time,Information Technology,Financial Services,https://ca.linkedin.com/jobs/view/stagiaire-certification-hiver-2024-at-bdo-canada-3701418282?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=zB64c4Yt43JYrszQvOg3OA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Saint-Augustin-de-Desmaures, Quebec, Canada",2023-07-29,"3652 Rue De L'Hetrière, Saint-Augustin-De-Desmaures, Quebec G3A 2L4

Horaire : Temps plein ou temps partiel, jour ou soir (à déterminer selon les besoins et vos disponibilités)


Pourquoi tu devrais choisir l’un de nos dépanneurs :


À quoi ressemblera ton quotidien dans un de nos dépanneurs :


Ce que nous cherchons pour l’un de nos dépanneurs :


Pour en savoir plus, consultez notre site internet : https://carrieres.couchetard.com

Vous pouvez également faire parvenir votre candidature directement au coordonnateur du territoire à

Viens grandir avec nous !

Suivez-nous sur LinkedIn!

Le masculin est utilisé, sans discrimination, afin d’alléger le texte.

valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701467203?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=INruUKUPizsKcC%2BhNVr74A%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
"Stagiaire universitaire automne 2023, Ponts et Ouvrages d'art",EXP,"Québec, Quebec, Canada",2023-05-24,,,,,,https://ca.linkedin.com/jobs/view/stagiaire-universitaire-automne-2023-ponts-et-ouvrages-d-art-at-exp-3602330167?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=TSd1MhIVyK8AKoO73yxHMQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Mining Engineering Intern - Winter 2024,BBA Consultants,"Québec, Quebec, Canada",2023-08-31,"Type of position: Trainee

An Overview Of Your Future Role At BBA

Are you seeking an internship in Mining engineering? BBA is the place to discover the exciting world of engineering and develop your career.

By joining our team, you will be required to work with multidisciplinary teams (engineers, technicians, drafters and other collaborators) on one or more projects, carrying out consulting engineering tasks, such as studies, design and detailed engineering.










For over 40 years, we’ve been pushing the boundaries of engineering to serve our clients in the Energy and Natural Resources sector. At BBA, we develop innovative, flexible and sustainable solutions, from strategy to execution.

BBA is one of Canada’s leading private consulting engineering firms, focused on practice (PCB), with a network of 18 offices. Our teams work closely to deliver projects that shape tomorrow’s industry at the local, national and international levels.

Our people’s passion and excellence make BBA a Canada’s Best Employer and one of Canada’s Best Managed Companies .

We have unique talents, and we’re committed to providing a workplace where you can be yourself . Job postings are written in gender-neutral language.

Learn more about us by visiting our LinkedIn page and join the networks of our talent attraction specialists to speak with them directly.",Associate,Internship,"Design, Consulting, and Engineering",Mining,https://ca.linkedin.com/jobs/view/mining-engineering-intern-winter-2024-at-bba-consultants-3706382966?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=V%2B0OxKNXYqax82rtK2PK5w%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle - temps plein,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-15,"11498 Boul Valcartier, Québec, Quebec G2A 2M6

Horaire : Temps plein ou temps partiel (à déterminer selon les besoins et vos disponibilités.)

Salaire de jour : $16.45 (prime de 1$ incluse)

Salaire de nuit: $16.45 (Prime de nuit de 3$ + prime de rétention 1$ incluse)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)

Pour en savoir plus, consultez notre site internet : https://carrieres.couche-tard.com


Viens grandir avec nous !

Suivez-nous sur LinkedIn!

Le masculin est utilisé, sans discrimination, afin d’alléger le texte.

Nous remercions tous les candidats de l’intérêt qu’ils portent à ce poste; seules les personnes sélectionnées seront contactées.",Entry level,Full-time,Other,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-temps-plein-at-alimentation-couche-tard-3701459052?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=428D0VDnKohCi3jwEa2Q%2Fw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle de soir -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-29,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-de-soir-act-at-alimentation-couche-tard-3701464566?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=TKcHikZ2buMYQMAu2wrS5w%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-08-21,"2836 ROUTE LAGUEUX, ST-ÉTIENNE-DE-LAUZON, Quebec G6J 1A2

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701461760?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=7ctuYOJu%2BxWU5V7XzQwQXw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle MATIN -ACT,Alimentation Couche-Tard,"Saint-Apollinaire, Quebec, Canada",2023-08-02,"495 Rue Laurier Sortie 291, St-Apollinaire, Quebec G0S 2E0

Préposé(e) au service à la clientèle.

Salaire (jour et soir) : 16,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-matin-act-at-alimentation-couche-tard-3701461158?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=Wqn%2Beo0x%2Bfrz7Kk0S3C6UQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle de nuit,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-21,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-de-nuit-at-alimentation-couche-tard-3701437915?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=tVWSda3Tmkgw9zlJ2QmLaA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Préposé(e) service à la clientèle - ACT,Alimentation Couche-Tard,"Ste.-Anne-de-Beaupré, Quebec, Canada",2023-07-29,"9687 Boul Sainte-Anne, Sainte-Anne Beaupré, Quebec G0A 3C0

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 18,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Other,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-e-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701447090?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=e2SsbjSaFt7oi30S9jDrNQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
préposé au service à la clientèle,Alimentation Couche-Tard,"Beaupré, Quebec, Canada",2023-08-09,"11005 Boulevard Ste-Anne, Beaupré, Quebec G0A 1E0

Horaire : Temps plein ou temps partiel (à déterminer selon les besoins et vos disponibilités.)

Salaire de jour : $18.45 (prime de 1$ incluse)

Salaire de nuit: $18.45 (Prime de nuit de 3$ + prime de rétention 1$ incluse)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)

Pour en savoir plus, consultez notre site internet : https://carrieres.couche-tard.com


Viens grandir avec nous !

Suivez-nous sur LinkedIn!

Le masculin est utilisé, sans discrimination, afin d’alléger le texte.

Nous remercions tous les candidats de l’intérêt qu’ils portent à ce poste; seules les personnes sélectionnées seront contactées.",Entry level,Full-time,Other,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-au-service-%C3%A0-la-client%C3%A8le-at-alimentation-couche-tard-3701456278?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=V34PlzQuURpe3GUyWckvew%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Stagiaire en mécanique des roches,WSP in Canada,"Québec, Quebec, Canada",2023-08-26,,,,,,https://ca.linkedin.com/jobs/view/stagiaire-en-m%C3%A9canique-des-roches-at-wsp-in-canada-3663776280?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=mpY02XfGZX84gbFu2rEB8Q%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Stagiaire - Programme de leadership de la chaîne d’approvisionnement et centre de distribution,PepsiCo,"Québec, Quebec, Canada",2023-08-29,"Aperçu

Programme de leadership de la chaîne d’approvisionnement et de centre de distribution de PepsiCo Canada Aliments

À PepsiCo Canada Aliments, nous sommes toujours à la recherche de personnes talentueuses, et notre quête nous amène souvent à visiter des campus comme le vôtre! Alors, pourquoi choisir le programme de leadership de la chaîne d’approvisionnement?




À quoi pourrait ressembler votre première expérience?



Quels types de candidats et candidates recherchons-nous?


Ce à quoi vous pouvez vous attendre de la part de l’organisation :


L’entreprise

PepsiCo est un endroit privilégié pour les gens curieux. Nous invitons les penseurs et penseuses, les entrepreneurs et entrepreneuses et les agents et agentes du changement à promouvoir l’innovation, à prendre des risques calculés et à remettre en question le statu quo. Des cadres aux membres d’équipes de première ligne, nous envisageons tous et toutes l’avenir avec enthousiasme. Nous prenons des risques. Ensemble, nous osons rendre le monde meilleur.",Mid-Senior level,Full-time,Education and Training,Food and Beverage Services and Manufacturing,https://ca.linkedin.com/jobs/view/stagiaire-programme-de-leadership-de-la-cha%C3%AEne-d%E2%80%99approvisionnement-et-centre-de-distribution-at-pepsico-3687814559?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=t7Fbib10Aqku6oZ4KJRE0w%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
"Personal Lines Damage Insurance Broker, Lévis, Quebec",The Agency by Workland,"Lévis, Quebec, Canada",2023-08-22,"SEEKING A PERSONAL LINES DAMAGE INSURANCE BROKER: NEW GRADUATES WELCOMED!

POSSIBILITY OF REMOTE OR HYBRID WORK



Are you looking for an internship to confirm your AMF certification with a strong chance get a permanent employment? This opportunity is perfect for you!

Our client has been a leader in insurance and financial services brokerage for decades. The company's four main areas of activity are property and casualty insurance services for individuals, groups, businesses and financial services. The company has more than twenty offices in ten regions across the province.

Our client is currently looking for to join the team in their offices located throughout Quebec.





Under the authority of the Unit Manager, the advises personal line clients on various insurance companies’ products in order to meet their needs. In addition, they provide customer service and the necessary follow-up for each client.







Workland is proud to have been mandated to assist this company in the recruitment process of this great job opportunity. Workland's mission is to solve recruitment and job search problems by combining marketing, technology and experienced professionals. The ultimate goal is to accelerate and facilitate the process of connecting talented professionals with the right organizations through an approach that promotes diversity, equity and inclusion in the workplace.",Mid-Senior level,Full-time,Other,Human Resources Services,https://ca.linkedin.com/jobs/view/personal-lines-damage-insurance-broker-l%C3%A9vis-quebec-at-the-agency-by-workland-3693034168?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=qqf5R96Ve0qPULBwP6rzQA%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
Stagiaire - Programme de leadership de la chaîne d’approvisionnement et centre de distribution,PepsiCo,"Québec, Quebec, Canada",2023-09-04,"Overview

Responsibilities

Qualifications

Programme de leadership de la chaîne d’approvisionnement et de centre de distribution de PepsiCo Canada Aliments

À PepsiCo Canada Aliments, nous sommes toujours à la recherche de personnes talentueuses, et notre quête nous amène souvent à visiter des campus comme le vôtre! Alors, pourquoi choisir le programme de leadership de la chaîne d’approvisionnement?



À quoi pourrait ressembler votre première expérience?


Quels types de candidats et candidates recherchons-nous?


Ce à quoi vous pouvez vous attendre de la part de l’organisation :


L’entreprise

PepsiCo est un endroit privilégié pour les gens curieux. Nous invitons les penseurs et penseuses, les entrepreneurs et entrepreneuses et les agents et agentes du changement à promouvoir l’innovation, à prendre des risques calculés et à remettre en question le statu quo. Des cadres aux membres d’équipes de première ligne, nous envisageons tous et toutes l’avenir avec enthousiasme. Nous prenons des risques. Ensemble, nous osons rendre le monde meilleur.",Mid-Senior level,Full-time,Education and Training,Food and Beverage Services and Manufacturing,https://ca.linkedin.com/jobs/view/stagiaire-programme-de-leadership-de-la-cha%C3%AEne-d%E2%80%99approvisionnement-et-centre-de-distribution-at-pepsico-3687814560?refId=Lma9w9BwZWlxLGk8GubUvg%3D%3D&trackingId=%2BZwxMHQmzQSUbXjvtuZOqw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
