role,name,location,post_time,description,level,job_type,job_func,industry,url
"Dietitian, Eating Disorder Program",Fraser Health Authority,"Abbotsford, British Columbia, Canada",2023-07-13,"The salary range for this position is CAD $39.56 - $49.39 / hour

Why Fraser Health?

Fraser Health continues to be recognized as one of BC's Top Employers, are you someone who is passionate about making a difference in the lives of others?

Fraser Health is responsible for the delivery of hospital and community-based health services to over 1.9 million people in 20 diverse communities from Burnaby to Fraser Canyon on the traditional territories of the Coast Salish and Nlaka’pamux Nations. Our team of nearly 45,000 medical staff and volunteers is dedicated to serving our patients, families and communities to deliver on our vision: Better health, best in health care.

Effective October 26th, 2021, all new hires to Fraser Health will need to have full COVID 19 vaccination (have received a full series of a World Health Organization “WHO” approved vaccine against infection by SARS-COV-2, or a combination of approved WHO vaccines). Please note this applies to all postings, and individual medical exemptions must be approved by the Provincial Health Officer.


Come work with dedicated health care providers who are enthusiastic and committed to provide quality healthcare to our clients/patients/residents. We invite you to find out why more than 95% of new employees recommend Fraser Health as an excellent place to work. Work hard and have fun while you do it.

Curious to learn what it’s like to work here? Like us on (@fraserhealthcareers), follow us on (@FHCareer), or connect with us on (fraserhealthcareers) for first-hand employee insights.


The Dietitian within the Fraser South Eating Disorder Program (FSEDP) is a member of an interdisciplinary team providing nutrition consultation to community members, agencies and other health professionals. The Dietitian develops, coordinates and presents relevant educational material for diverse populations and provides nutritional counselling and client-centered individual, family and group counselling to child, youth and adult client within the program.

The Dietitian collaborates with other health professionals to monitor and evaluate provision of service and make recommendations regarding the nutritional component of the Eating Disorder Program and related goals, objectives, standards and procedures.





Bachelor's Degree in Dietetics or Nutrition from an accredited university, successful completion of a community nutrition or dietetics internship program as approved by Dietitians of Canada (DOC) and two (2) years' recent related experience including a focus on client-centered counselling of eating disordered clients, or an equivalent combination of education, training and experience.

Registration with the College of Dietitians of British Columbia. Valid BC Driver's license and access to a personal vehicle for business-related purposes.",Entry level,Part-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/dietitian-eating-disorder-program-at-fraser-health-authority-3662451714?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=efMyQN%2BaEEutxaPIjCfzHw%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
Veterinary Technician - Emergency,NVA Canada,"Langley, British Columbia, Canada",2023-08-26,,,,,,https://ca.linkedin.com/jobs/view/veterinary-technician-emergency-at-nva-canada-3424948741?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=zkyDjMA9G%2F2w4TmUvgbdtQ%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card
"Clinical Dietitian, Nutrition and Rehabilitation - BC Cancer - Surrey",Provincial Health Services Authority,"Surrey, British Columbia, Canada",2023-04-02,"Clinical Dietitian, Nutrition and Rehabilitation

BC Cancer

Surrey, BC





What you have



Every PHSA employee enables the best possible patient care for our patients and their families. Whether you are providing direct care, conducting research, or making it possible for others to do their work, you impact the lives of British Columbians today and in the future. That’s why we’re focused on your care too – offering health, wellness, development programs to support you – at work and at home.








BC Cancer provides comprehensive cancer control for the people of British Columbia.

BC Cancer is part of the Provincial Health Services Authority (PHSA).

( PHSA ) plans, manages and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people throughout the province. Our values reflect our commitment to excellence and include: Respect people – Be compassionate – Dare to innovate – Cultivate partnerships – Serve with purpose.

Learn more about PHSA and our programs: jobs.phsa.ca/programs-and-services

PHSA and BC Cancer are committed to employment equity, encouraging all qualified individuals to apply. We recognize that our ability to provide the best care for our diverse patient populations relies on a rich diversity of skills, knowledge, background and experience, and value a safe, inclusive and welcoming environment.

Reconciliation is an ongoing process and a shared responsibility for all of us. The BC Governments’ unanimous passage of the Declaration on the Rights of Indigenous Peoples Act was a significant step forward in this journey—one that all health authorities are expected to support as we work in cooperation with Indigenous Peoples to establish a clear and sustainable path to lasting reconciliation. True reconciliation will take time and ongoing commitment to work with Indigenous Peoples as they move toward self-determination. Guiding these efforts Crown agencies must remain focused on creating opportunities that implement the Truth and Reconciliation Commission Mandate.",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/clinical-dietitian-nutrition-and-rehabilitation-bc-cancer-surrey-at-provincial-health-services-authority-3589913723?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=I4RDZlg17ps%2Buf6h0oO1lQ%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - BC Cancer Prince George,BC Cancer,"Prince George, British Columbia, Canada",2023-07-02,"Clinical Dietician, Nutrition and Rehabilitation

BC Cancer

Prince George, BC



The Clinical Dietician performs clinical, education, community development and research activities in keeping with the evidence-based practice of Oncology Nutrition.









Every PHSA employee enables the best possible patient care for our patients and their families. Whether you are providing direct care, conducting research, or making it possible for others to do their work, you impact the lives of British Columbians today and in the future. That’s why we’re focused on your care too – offering health, wellness, development programs to support you – at work and at home.











125275E



BC Cancer provides comprehensive cancer control for the people of British Columbia.

BC Cancer is part of the Provincial Health Services Authority (PHSA).

The Provincial Health Services Authority (PHSA) plans, manages and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people throughout the province. Our values reflect our commitment to excellence and include: Respect people – Be compassionate – Dare to innovate – Cultivate partnerships – Serve with purpose.

Learn more about PHSA and our programs: jobs.phsa.ca/programs-and-services

PHSA and BC Cancer are committed to employment equity, encouraging all qualified individuals to apply. We recognize that our ability to provide the best care for our diverse patient populations relies on a rich diversity of skills, knowledge, background and experience, and value a safe, inclusive and welcoming environment.



To be considered as a PHSA employee (internal applicant) for this position, http://internaljobs.phsa.ca

Please note the internal job posting will no longer be accessible after the expiry date. If the internal job posting has expired, please contact the Internal Jobs Help Desk and advise that you would like to be considered as a late internal applicant for this position.

If you have not registered your internal profile, a password is required to log in for the first time. To obtain your password, please contact the . Please note regular business hours are Monday – Friday (excluding stats), 8:30am to 4:30pm. For inquiries outside of regular business hours, please email the Internal Jobs Help Desk at internaljobshelpu@phsa.ca and a Help Desk Representative will contact you the next business day",Entry level,Temporary,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/clinical-dietitian-bc-cancer-prince-george-at-bc-cancer-3677754442?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=MZyILvNsKj1YB9N9QqCvHQ%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - Surrey Memorial Hospital (SMH),Fraser Health Authority,"Surrey, British Columbia, Canada",2023-03-29,,,,,,https://ca.linkedin.com/jobs/view/clinical-dietitian-surrey-memorial-hospital-smh-at-fraser-health-authority-3581274669?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=EkU1Olq9%2Fmd%2BB7Vo%2B720xg%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card
"Sr. Software Development Engineer, Box",Amazon,"Vancouver, British Columbia, Canada",2023-08-31,"Description

Be a part of a critical team responsible for delivering on Amazon's Climate Pledge; a commitment to be net-zero carbon across our business by 2040, 10 years ahead of the Paris Agreement.

The Box team ensures that every delivery is a delightful experience for our customers and our fulfillment associates, by providing packaging recommendations for outbound shipments. The packaging selected for a shipment directly influences the approach for fulfillment to achieve customer promise, maintain customer experience, and drive efficiency. Finding optimality involves modeling tradeoffs between cartonization, packaging materials, process paths, packing, and carrier restrictions.



Key job responsibilities

As a Software Development Engineer for the Box Selection team, you will be responsible for driving the technical direction and architecture of this large, complex software system. You will develop highly available, business impacting services at the core of Amazon's fulfillment engine. You will also work closely with a diverse group of stakeholders from World-wide Operations, Finance, Fulfilled-By-Amazon, and internal technical teams to define business opportunities and then drive end-to-end solutions.

You will be empowered to think big, invent on behalf of our customers, independently make judgment calls to keep teams moving and find elegant solutions to hard problems. You will directly own the architecture, engineering quality and technical roadmap of the Box recommendation system. The world is changing fast and this is a dynamic role where you will be able to learn as much as you contribute.

We are open to hiring candidates to work out of one of the following locations:

Vancouver, BC, CAN





Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.

- Amazon Development Centre Canada ULC

Job ID: A2429752",Mid-Senior level,Full-time,"Information Technology, Consulting, and Engineering","IT Services and IT Consulting, Software Development, and Technology, Information and Internet",https://ca.linkedin.com/jobs/view/sr-software-development-engineer-box-at-amazon-3701746761?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=%2BA7pZXMhj35NcTC03YAg1A%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card
"Dietitian, Home Health/Primary and Community Care/Urgent Primary Care Centre",Fraser Health Authority,"White Rock, British Columbia, Canada",2023-03-29,"The salary range for this position is CAD $39.56 - $49.39 / hour

Why Fraser Health?

Fraser Health is responsible for the delivery of hospital and community-based health services from Burnaby to Fraser Canyon on the traditional, ancestral and unceded territories of the Coast Salish and Nlaka’pamux Nations, and is home to six Métis Chartered Communities.

Our team of 43,000 staff, medical staff and volunteers is dedicated to serving our patients, families and communities to deliver on our vision: Better health, best in health care. Learn more .

We currently have an exciting opportunity for a to join our Home Health team providing support to the Fraser South Community located in .


Fraser Health is proudly recognized as a BC Top Employer . Joining our team offers you opportunities to work in a rapidly growing organization with health professionals who are excellent in their respective fields, career growth and advancement, a competitive compensation package (including four weeks of vacation to start, comprehensive health benefits, and pension plan), and the rewarding opportunity to make a difference every single day in health care.

Effective October 26, 2021 all staff for all positions across health care in British Columbia are required to be fully vaccinated against COVID-19 (have received a full series of a World Health Organization “WHO” approved vaccine against infection by SARS-COV-2, or a combination of approved WHO vaccines). Please note this applies to all postings, and there are no exceptions.

Fraser Health values diversity in the work force and strives to maintain an environment of Respect, Caring and Trust. Fraser Health’s hiring practices aspire to ensure all individuals are treated in an inclusive, equitable, and culturally safe manner.


Connect with us on our Careers social channels where you’ll learn about exciting opportunities, get career tips from our recruiters, and meet some of your future team members! You can also visit us on Indeed and Glassdoor .

Instagram | Facebook | LinkedIn | Twitter | TikTok


The Dietitian, provides consultation and nutrition education to Home Health and/or Primary & Community Care, and/or Urgent Primary Care Centre clients and staff; researches, prepares and provides related resource materials for staff and clients; works collaboratively with all members of the Home Health and/or Primary & Community Care and/or Urgent Primary Care Centre team to ensure that staff and clients have access to the most current, research-based nutrition programs and information.





Bachelor's Degree in Dietetics plus completion of a community nutrition or dietetics internship in an accredited program or one year graduate study in nutrition and dietetics. Two years of recent related experience in a community or related setting. Current membership with the College of Dietitions of BC and eligibility for membership with the College of Dietitions of Canada. Valid BC Driver's Licence.",Entry level,Part-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/dietitian-home-health-primary-and-community-care-urgent-primary-care-centre-at-fraser-health-authority-3581271804?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=mjqlJW%2Bx%2BtFgA6fBZE0CkA%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - BC Cancer Abbotsford,BC Cancer,"Abbotsford, British Columbia, Canada",2023-06-22,,,,,,https://ca.linkedin.com/jobs/view/clinical-dietitian-bc-cancer-abbotsford-at-bc-cancer-3667109689?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=%2FS7HV0bDvzXCe9gxQ8ZuUA%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card
Dietitian,Retirement Concepts,"Williams Lake, British Columbia, Canada",2023-08-15,"Location: Williams Lake Seniors Village

Job Type: Contract 14 hours/week

Summary Of Position

Reporting to the Director of Care and/or designate the Dietitian will be responsible for the nutritional management of the residents within the facility through the provision of a quality meal service and assurance that clinical standards as outlined in the Community Care Licensing requirements are met.


Include but not limited to;


safety.




internship program




members of the interdisciplinary team, residents and families.


plans",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/dietitian-at-retirement-concepts-3691463975?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=xzWni1qgZPfGBmG09sND6g%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card
Community Dietitian 2,Vancouver Coastal Health,"Vancouver, British Columbia, Canada",2023-08-18,"Come work as a Community Dietician with Vancouver Coastal Health (VCH)!

Vancouver Coastal Health is looking for a Dietitian to join the Chronic Disease Services team in Vancouver, BC. Apply today to join our team!







Clinical experience working with clients who range in age from Pediatric to Geriatric in the prevention and management of various chronic conditions including Type 1, Type 2, and Gestational Diabetes. Education is offered as in-person and/or virtual group and individual 11 appointments. Knowledge/experience supporting clients on insulin pump therapy and having current Canadian Diabetes Educator certification are assets.

The hours of work including days off and work area may be subject to change consistent with operational requirements and the provision of the Collective Agreement and applicable statutes. Successful applicants may be required to complete a Criminal Records Review Check.

As per the current Public Health Orders (Long Term Care/Seniors Assisted Living Provincial Health Officer Order and the Health Sector Order), as of October 26, 2021, all employees working for Vancouver Coastal Health must be fully vaccinated for COVID-19. Proof of vaccination status will be required.


VCH is a world class innovator in medical care, research and teaching, delivering service to more than one million BC residents. At VCH, we embrace thinking boldly, taking smart risks, and ""going first"" when we believe it will lead to the best possible outcomes for patients and their families. We invite you to join us in creating healthy lives in healthy communities by showcasing our passion for care, connection to the communities we serve and our culture of teamwork that makes VCH a great place to work.


Diversity, equity, and inclusion are essential to our goals of creating a great place to work and delivering exceptional care. We acknowledge and accommodate unique differences and ensure special measures are in place so that all prospective and current employees are given an opportunity to succeed.

We are committed to building a representative workforce and encourage applications reflecting diversity of sex, sexual orientation, gender identity or expression, racialization or ancestry, disability, political belief, religion, marital or family status, age, and/or status as a First Nation, Metis, Inuit, or Indigenous person.

Vancouver Coastal Health is proud to be recognized as one of Canada's Top 100 Employers in 2023.


***Employees of VCH must apply online via the on CareerHub, you are currently viewing the External Career Portal. Refer to the site for instructions on how to view internal job postings and how to apply as an employee. Current VCH employees who apply to this posting using this external site will be considered as an external candidate. Seniority will not apply.***

Thank you for your interest in Vancouver Coastal Health.",Entry level,Other,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/community-dietitian-2-at-vancouver-coastal-health-3697522195?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=Ub5eXEX%2FUU9fEIRSkCnL7A%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - Queen's Park Care Centre (QPCC),Fraser Health Authority,"New Westminster, British Columbia, Canada",2023-03-29,,,,,,https://ca.linkedin.com/jobs/view/clinical-dietitian-queen-s-park-care-centre-qpcc-at-fraser-health-authority-3581277028?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=NL0aszu6G87%2FxkhYFjiTQQ%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - BC Cancer Vancouver,Provincial Health Services Authority,"Vancouver, British Columbia, Canada",2023-08-14,"Clinical Dietician, Nutrition and Rehabilitation

BC Cancer

Vancouver BC


The Clinical Dietician performs clinical, education, community development and research activities in keeping with the evidence-based practice of Oncology Nutrition.








Every PHSA employee enables the best possible patient care for our patients and their families. Whether you are providing direct care, conducting research, or making it possible for others to do their work, you impact the lives of British Columbians today and in the future. That’s why we’re focused on your care too – offering health, wellness, development programs to support you – at work and at home.











BC Cancer provides comprehensive cancer control for the people of British Columbia.

BC Cancer is part of the Provincial Health Services Authority (PHSA).

The Provincial Health Services Authority ( PHSA ) plans, manages and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people throughout the province. Our values reflect our commitment to excellence and include: Respect people – Be compassionate – Dare to innovate – Cultivate partnerships – Serve with purpose.

Learn more about PHSA and our programs: jobs.phsa.ca/programs-and-services

PHSA and BC Cancer are committed to employment equity, encouraging all qualified individuals to apply. We recognize that our ability to provide the best care for our diverse patient populations relies on a rich diversity of skills, knowledge, background and experience, and value a safe, inclusive and welcoming environment.",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/clinical-dietitian-bc-cancer-vancouver-at-provincial-health-services-authority-3694372889?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=s9DmCe4uKfLczzZiiVkiNg%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - BC Cancer Abbotsford,Provincial Health Services Authority,"Abbotsford, British Columbia, Canada",2023-05-03,"Clinical Dietitian

Nutrition and Rehabilitation - BC Cancer

Abbotsford






What you have



Every PHSA employee enables the best possible patient care for our patients and their families. Whether you are providing direct care, conducting research, or making it possible for others to do their work, you impact the lives of British Columbians today and in the future. That’s why we’re focused on your care too – offering health, wellness, development programs to support you – at work and at home.





BC Cancer provides comprehensive cancer control for the people of British Columbia.

BC Cancer is part of the Provincial Health Services Authority (PHSA).

The Provincial Health Services Authority ( PHSA ) plans, manages and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people throughout the province. Our values reflect our commitment to excellence and include: Respect people – Be compassionate – Dare to innovate – Cultivate partnerships – Serve with purpose.

Learn more about PHSA and our programs: jobs.phsa.ca/programs-and-services

PHSA and BC Cancer are committed to employment equity, encouraging all qualified individuals to apply. We recognize that our ability to provide the best care for our diverse patient populations relies on a rich diversity of skills, knowledge, background and experience, and value a safe, inclusive and welcoming environment.",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/clinical-dietitian-bc-cancer-abbotsford-at-provincial-health-services-authority-3620351915?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=4dCFusA%2B8eJ3LDxitvGqMw%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - Surrey Memorial Hospital,Fraser Health Authority,"Surrey, British Columbia, Canada",2023-07-09,,,,,,https://ca.linkedin.com/jobs/view/clinical-dietitian-surrey-memorial-hospital-at-fraser-health-authority-3683346595?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=I2Mzhcb0SOTaLjEnZ4wlHA%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian II - BC Mental Health and Substance Use Services,BC Mental Health and Substance Use Services,"Coquitlam, British Columbia, Canada",2023-08-18,"Clinical Dietician II

BC Mental Health and Substance Use Services

Coquitlam, BC






You will also have



Every PHSA employee enables the best possible patient care for our patients and their families. Whether you are providing direct care, conducting research, or making it possible for others to do their work, you impact the lives of British Columbians today and in the future. That’s why we’re focused on your care too – offering health, wellness, development programs to support you – at work and at home.


Regular, Part-Time

$39.56 - $49.39/hour

2721 Lougheed Hwy, Coquitlam BC, V3C 4J2



Tuesday and Thursday, 0900 - 1700

150852E





BC Mental Health & Substance Use Services (BCMHSUS) cares for people with complex mental health and substance use challenges.

BCMHSUS is part of the Provincial Health Services Authority (PHSA).

The Provincial Health Services Authority (PHSA) plans, manages and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people throughout the province. Our values reflect our commitment to excellence and include: Respect people – Be compassionate – Dare to innovate – Cultivate partnerships – Serve with purpose. Learn more about PHSA and our programs: jobs.phsa.ca/programs-and-services

PHSA and BCMHSUS are committed to employment equity, encouraging all qualified individuals to apply. We recognize that our ability to provide the best care for our diverse patient populations relies on a rich diversity of skills, knowledge, background and experience, and value a safe, inclusive and welcoming environment.

Reconciliation is an ongoing process and a shared responsibility for all of us. The BC Governments’ unanimous passage of the Declaration on the Rights of Indigenous Peoples Act was a significant step forward in this journey—one that all health authorities are expected to support as we work in cooperation with Indigenous Peoples to establish a clear and sustainable path to lasting reconciliation. True reconciliation will take time and ongoing commitment to work with Indigenous Peoples as they move toward self-determination. Guiding these efforts Crown agencies must remain focused on creating opportunities that implement the Truth and Reconciliation Commission Mandate.



To be considered as a PHSA employee (internal applicant) for this position,

Please note the internal job posting will no longer be accessible after the expiry date of . If the internal job posting has expired, please contact the Internal Jobs Help Desk and advise that you would like to be considered as a late internal applicant for this position.

If you have not registered your internal profile, a password is required to log in for the first time. To obtain your password, please contact the . Please note regular business hours are Monday – Friday (excluding stats), 8:30am to 4:30pm. For inquiries outside of regular business hours, please email the Internal Jobs Help Desk at internaljobshelpu@phsa.ca and a Help Desk Representative will contact you the next business day.",Entry level,Part-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/clinical-dietitian-ii-bc-mental-health-and-substance-use-services-at-bc-mental-health-and-substance-use-services-3694940495?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=NWLxIcywW%2BkF411ukt2ssw%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card
"Dietitian, Home Health/Primary and Community Care/Urgent Primary Care Centre - Hope",Fraser Health Authority,"Harrison Hot Springs, British Columbia, Canada",2023-05-24,"The salary range for this position is CAD $39.56 - $49.39 / hour

Why Fraser Health?

Fraser Health is responsible for the delivery of hospital and community-based health services to over 1.9 million people in 20 diverse communities from Burnaby to Fraser Canyon on the traditional territories of the Coast Salish and Nlaka’pamux Nations. Our team of 43,000 staff, medical staff and volunteers is dedicated to serving our patients, families and communities to deliver on our vision: Better health, best in health care.

Effective October 26th, 2021 all staff for all positions across Health Care require full COVID 19 vaccination. All positions, require that you are fully vaccinated against COVID-19 (have received a full series of a World Health Organization “WHO” approved vaccine against infection by SARS-COV-2, or a combination of approved WHO vaccines). Please note this applies to all postings, and there are no exceptions.


We are currently looking to fill an exciting position as a Dietitian, Home Health/Primary and Community Care/Urgent Primary Care Centre in


A career with Fraser Health will offer you the opportunity to be a part of a dedicated team of professionals in a dynamic and rewarding health care environment. We offer a competitive compensation and benefit package, including comprehensive health benefits coverage.

We invite you to apply today and find out why more than 95% of new employees recommend Fraser Health to their friends and family as a phenomenal place to work! We value diversity in the work force and aim to maintain an environment of Respect, Caring & Trust.

Find out what it’s like to work here. Like us on Facebook(@fraserhealthcareers), follow us on Twitter & Instagram(@FHCareer), or connect with us on LinkedIn (fraserhealthcareers) for first-hand employee insights!


The Dietitian, provides consultation and nutrition education to Home Health and/or Primary & Community Care, and/or Urgent Primary Care Centre clients and staff; researches, prepares and provides related resource materials for staff and clients; works collaboratively with all members of the Home Health and/or Primary & Community Care and/or Urgent Primary Care Centre team to ensure that staff and clients have access to the most current, research-based nutrition programs and information.





Bachelor's Degree in Dietetics plus completion of a community nutrition or dietetics internship in an accredited program or one year graduate study in nutrition and dietetics. Two years of recent related experience in a community or related setting. Current membership with the College of Dietitions of BC and eligibility for membership with the College of Dietitions of Canada. Valid BC Driver's Licence.",Entry level,Full-time,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/dietitian-home-health-primary-and-community-care-urgent-primary-care-centre-hope-at-fraser-health-authority-3615875837?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=mwS4WX2R%2FuOCBETQpHBrOg%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card
Clinical Dietitian - Surrey Memorial Hospital,Fraser Health Authority,"Surrey, British Columbia, Canada",2023-07-06,"The salary range for this position is CAD $38.60 - $48.20 / hour

Why Fraser Health?

Fraser Health is responsible for the delivery of hospital and community-based health services from Burnaby to Fraser Canyon on the traditional, ancestral and unceded territories of the Coast Salish and Nlaka’pamux Nations, and is home to six Métis Chartered Communities.

Our team of 45,000 staff, medical staff and volunteers is dedicated to serving our patients, families and communities to deliver on our vision: Better health, best in health care. Learn more .

We currently have an exciting opportunity for a Part Time – Clinical Dietitian to join our team at Surrey Memorial Hospital located in Surrey, B.C. This position is available until November 1st, 2023 or Return of Incumbent. We hire great people for outstanding jobs and need your help to expand the ability to deliver prompt and professional service.

Come work with us!

Fraser Health is proudly recognized as a BC Top Employer . Joining our team offers you opportunities to work in a rapidly growing organization with health professionals who are excellent in their respective fields, career growth and advancement, a competitive compensation package (including four weeks of vacation to start, comprehensive health benefits, and pension plan), and the rewarding opportunity to make a difference every single day in health care.

Effective October 26, 2021 all staff for all positions across health care in British Columbia are required to be fully vaccinated against COVID-19 (have received a full series of a World Health Organization “WHO” approved vaccine against infection by SARS-COV-2, or a combination of approved WHO vaccines). Please note this applies to all postings, and there are no exceptions.

Fraser Health values diversity in the work force and strives to maintain an environment of Respect, Caring and Trust. Fraser Health’s hiring practices aspire to ensure all individuals are treated in an inclusive, equitable, and culturally safe manner.

Connect with us on our Careers social channels where you’ll learn about exciting opportunities, get career tips from our recruiters, and meet some of your future team members! You can also visit us on Indeed and Glassdoor .

Instagram | Facebook | LinkedIn | Twitter | TikTok


Reporting clinically to the Dietitian Practice Leader, provides dietetic practice in accordance with patient/client needs consistent with established departmental standards, policies and procedures for an assigned location.





Bachelor of Science (BSc) program in Nutrition from an approved educational institution and successful completion of an approved dietetic internship program.

Current registration in the College of Dietitians of British Columbia.

Valid BC Driver''s License and access to a personal vehicle for business-related purposes, as required.",Entry level,Internship,Health Care Provider,Hospitals and Health Care,https://ca.linkedin.com/jobs/view/clinical-dietitian-surrey-memorial-hospital-at-fraser-health-authority-3656672754?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=W%2FPn%2FuQUdygwP01X86kIRg%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card
Veterinary Technician - Emergency,Ethos Veterinary Health,"Langley, British Columbia, Canada",2023-08-24,"Fuel your passion and develop the full range of your knowledge and skills! This is your chance to join a thriving team at a hospital that prioritizes a healthy work-life balance and is committed to supporting your personal and professional growth!

Up to $5,000 SIGNING BONUS AVAILABLE!!

RELOCATION ASSISTANCE if applicable!!


AECFV is a leading AAHA and VECCS Level II accredited veterinary facility. We have been providing emergency and critical care coverage since 1996 to more than 100 general practitioners throughout the Lower Mainland and Fraser

Valley.

Our 8,000 sqft hospital is equipped with many state-of-the-art tools that enable us to provide comprehensive, gold- standard emergency care. We have one of the largest blood banks in Canada and are one of the largest and busiest standalone emergency hospitals in Western Canada. We are fully staffed 24 hours a day, 365 days a year by a team of over 100 incredible individuals, each committed to practicing the highest standard of emergency and critical care medicine.

AECFV is partnered with National Veterinary Associates-Compassion-First (NVA C-F). NVA CV-F is a community of more than 100 specialty and emergency hospitals across North America driven by the spirit of collaboration and focused on empowering the advancement of veterinary medicine at the local hospital level.

Through our partnership with NVA C-F we have more resources to advance our medicine, a greater sense of belonging, and increased opportunities to care for our patients, clients, and people. We believe in servant leadership, work life balance, mental health, and growth for our employees.









Our clinic embraces a fun, team atmosphere, and we offer many extras like a stocked lunchroom, giveaways for event tickets and gift cards, and staff meals and parties. We strongly believe in offering",Entry level,Internship,Health Care Provider,Veterinary Services,https://ca.linkedin.com/jobs/view/veterinary-technician-emergency-at-ethos-veterinary-health-3669848680?refId=TsdiZDMo4RQT5gkWfahG4w%3D%3D&trackingId=eMXAH8sbXjrTxbuytt%2FQeg%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card
